id,name,requirements,tasks,summary,pageUrl
JOB64917596714,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/pt-pt/details/200169182/machine-learning-engineer
JOB68013369882,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-sg/details/200160977/maps-search-software-engineer
JOB69429897745,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/ru-ru/details/200160977/maps-search-software-engineer
JOB75058276907,Maps Senior Machine Learning Engineer,"Strong data or software engineering background with 7-10 years of industry experience,Strong in coding, algorithms and software engineering,Hands-on experience with Python, Scala and/or Java,A track record of designing, implementing and delivering scalable, performant data/ML solutions,Familiarity with machine learning frameworks (like TensorFlow or PyTorch) and libraries (like scikit-learn),Strong analytical skills and algorithms/concepts,Apple’s most important resource, our soul, is our people. Apple benefits help further the well-being of our employees and their families in meaningful ways. No matter where you work at Apple, you can take advantage of our health and wellness resources and time-away programmes. We’re proud to provide stock grants to employees at all levels of the company, and we also give employees the option to buy Apple stock at a discount — both offer everyone at Apple the chance to share in the company’s success. You’ll discover many more benefits of working at Apple, such as programmes that match your charitable contributions, reimburse you for continuing your education and give you special employee pricing on Apple products.",,"At Apple Maps, our mission is to maintain a useful and accurate digital representation of the entire...",https://jobs.apple.com/en-gb/details/200161686/maps-senior-machine-learning-engineer
JOB76831697419,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-cz/details/200160977/maps-search-software-engineer
JOB77766617642,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/en-ie/details/200169182/machine-learning-engineer
JOB81173031441,"AI/ML - Machine Learning Engineer - Sensing, Machine Intelligence",,,Apple's central AI/ML team is looking for engineers who are passionate about using machine learning ...,https://jobs.apple.com/en-us/details/200155786/ai-ml-machine-learning-engineer-sensing-machine-intelligence
JOB82018455714,Machine Learning Engineer for Advanced Analytics Team,,,,"https://www.computerworld.dk/modules/job/morerandomjobs.php?op=list&start=6&limit=3&jobidsused=805951,805638,804846,805449,790920,802688&layout=cwglassbox"
JOB83328264742,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-ca/details/200160977/maps-search-software-engineer
JOB85270318421,Machine Learning Engineer,50+ career categories,"Find a better job, faster!,Hand-screened leads,No ads, scams, junk,Great job search support","
Machine learning engineer needed for a full-time opportunity with an option for remote work. Will b...",https://www.flexjobs.com/publicjobs/machine-learning-engineer-1068236
JOB85308418612,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/es-cl/details/200169182/machine-learning-engineer
JOB85593860650,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/en-au/details/200169182/machine-learning-engineer
JOB86670191153,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-ru/details/200160977/maps-search-software-engineer
JOB87749700109,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/en-ca/details/200169182/machine-learning-engineer
JOB88276593158,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-pt/details/200160977/maps-search-software-engineer
JOB89461189151,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/es-cl/details/200160977/maps-search-software-engineer
JOB90526329345,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-ie/details/200160977/maps-search-software-engineer
JOB90550078845,"Senior Machine Learning Engineer, Platform",,,"
Senior Machine Learning Engineer, Platform
Build a pipeline designed to train models for NLP relate...",https://www.flexjobs.com/publicjobs/senior-machine-learning-engineer-platform-1290557
JOB90927540795,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/zh-cn/details/200169182/machine-learning-engineer
JOB93617711669,Machine Learning Engineer,"Able to train and debug deep learning systems: Defining metrics and datasets, performing error analysis, training models in a modern DL framework (such as TensorFlow, PyTorch, Keras, etc.),Familiar with current DL literature and the math of machine learning: optimization methods, common types of models and layers, etc.,Strong background in Python development with Linux. You write clean, correct code while iterating on experiments in Python. Ability to understand and contribute to C++ based software is a plus.",,Apple is looking for ML/Deep Learning engineers to develop and integrate machine learning technologi...,https://jobs.apple.com/en-gb/details/200169384/machine-learning-engineer
JOB96413633913,Senior Machine Learning Engineer,50+ career categories,"Hand-screened leads,No ads, scams, junk,Great job search support","
Senior Machine Learning Engineer
Full-time position. Will build systems, extract new insights, impl...",https://www.flexjobs.com/publicjobs/senior-machine-learning-engineer-1263404
JOB98315961197,Machine Learning Engineer (Innovation Team),,"Investigating new / emerging technologies, innovations, and opportunities on mobile platforms,Building prototypes and presenting use-cases in line with our innovation strategy,Sharing findings and applying prototypes together with product teams,3+ years of experience in software development,Passion for prototyping & building proof of concepts,Ability to write robust code in Python or R,Experience applying ML tools/frameworks (TensorFlow, Caffe, Torch),Preferably a degree in Computer Science, Mathematics, Statistics, or a related field,Very good English skills","full time
Linz
With extensive experience in the health and fitness domain, Runtastic strives to prom...",https://www.runtastic.com/career/job/?job=341595&no-cache=1
JOB99368462906,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/ru-ru/details/200169182/machine-learning-engineer
JOB101055704577,Associate Machine Learning Engineer...,,,,https://www.avjobs.com/jobs/positions.asp?q=Associate+Machine+Learning+Engineer
JOB105222497780,Machine Learning Engineer (Israel),,"M.Sc. in Computer Science from a leading university;,fluent in C++ and/or Python;,industrial experience in machine learning productization;,big data industrial experience (MapReduce);,Ph.D. in CS/EE/Math or related;,advanced machine learning / deep learning skills;,proven innovation skills;",Yandex’s mission is to revolutionize the way people and goods are moving around. With its best in cl...,https://yandex.com/jobs/vacancies/global/ml_eng_israel/
JOB107854686775,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/nl-nl/details/200169182/machine-learning-engineer
JOB112133909055,"ISE, SIML - Handwriting Recognition Machine Learning Engineer","You should be experienced with modern machine learning algorithms,Experience with handwriting or text recognition, image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging and design skills,Excellent problem solving, critical thinking, and interpersonal skills,Ability to produce creative and innovative solutions to hard problems,Ability to work independently and with others,Detailed knowledge of C, C++, Objective-C or Swift programming,Experience with Unix, iOS, watchOS, or macOS development,Exposure to scripting or prototyping languages",,"ISE, SIML - Handwriting Recognition Machine Learning Engineer
Summary
Are you interested in building...",https://jobs.apple.com/en-us/details/200176608/ise-siml-handwriting-recognition-machine-learning-engineer
JOB114225179185,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-es/details/200160977/maps-search-software-engineer
JOB118029200953,AI Machine Learning Engineer,,,,https://www.avjobs.com/jobs/positions.asp?q=AI+Machine+Learning+Engineer
JOB126643346400,Machine Learning Engineer for Barstool Sportsbook,"Bayesian statistical inference, deep learning esp. sequence-to-sequence modeling, time series forecasting, natural language processing","Work closely with our Product Managers to understand features/game performance,Work closely with data scientists to tune models and bring them to production,Automate and productize reporting to increase analytical efficiency,Automate machine learning model creation and hypothesis testing,Improve experiment design and analysis to test user behavior hypotheses,Perform exploratory analyses to better understand our users,Build predictive models to predict migrations in player lifecycle,Produce actionable insights from quantitative and qualitative data,BS/MS degree in a quantitative discipline required (math, statistics, engineering, economics, physics and computer science, etc.),2 – 5 years of relevant analytics/data science experience or equivalent combination of education and experience,Strong python coding skills and proficiency in R is a plus,Experience deploying machine learning models to a Rest API,An understanding of free-to-play game systems, economies, currencies & balance a big plus,An ability to embrace an environment that moves quickly, iterates rapidly and celebrates failure as much as success,Strong SQL knowledge and experience",Penn Interactive (PI) is a real-money interactive gaming company headquartered in Philadelphia. As t...,https://technical.ly/job/penn-interactive-machine-learning-engineer-for-barstool-sportsbook-66325/
JOB128167553574,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-dk/details/200160977/maps-search-software-engineer
JOB128738273827,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-de/details/200160977/maps-search-software-engineer
JOB135228189217,Apple Media Products Engineering - Machine Learning Engineer,"At least 5 years ML related work experience with MS degree or 3 years ML related work experience with PhD or equivalent.,Excellent knowledge and good practical skills in ML and CV algorithms.,Skilled in deep learning for image/video classification, recognition, object detection, segmentation, OCR, and etc.,Practical understanding of the mathematics behind modern machine learning, linear algebra, and statistics.,Strong publication in machine learning/deep learning/computer vision.,Knowledge and experience with popular deep learning frameworks (e.g. Pytorch, Tensorflow, Keras, Caffe).,Strong programming and debugging skills in: Python, C/C++, or equivalent.,Experience in collaborating with infrastructure engineers to deliver final products or services.,Knowledge and experience on audio signal processing, ASR, forced alignment is a plus.,Attention to detail, data accuracy, and quality of output.",,The Apple Media Products Engineering team is one of the most exciting examples of Apple’s long-held ...,https://jobs.apple.com/en-us/details/200020183/apple-media-products-engineering-machine-learning-engineer
JOB137500167648,AVAILABLE POSITIONS Senior Machine Learning Engineer – Analytics,Work with cool people and impact millions of daily players,"Develop and maintain large scale ML Services,Develop and maintain ML platforms for Data Scientists to use,Keep up to date with advances in ML technologies and techniques,Minimum 5+ years of production experience in software development with minimum 3+ years in building ML applications,Programming Languages: Python, Go,Data Technologies: SQL, Spark, NoSQL Databases,Cloud Infrastructure: AWS,Deep Learning libraries like Tensorflow/PyTorch,ML Libraries like XGBoost, SciKit etc.,Building/maintaining large scale production services,Experience developing production ML models,Background in ML/Stats theory,Experience or background in Reinforcement Learning is a plus,Exhibits strong software development qualities including the ability to drive creative and innovative solutions to complex problems, good technical judgment.,Excellent communication skills, and the ability to work effectively with others in a team environment,Competitive salary, bonus plan, Zynga RSU’s (Restricted Stock Units), ESPP (Employee Stock Purchase Plan),RRSP Company Match Contribution,Extended Health coverage, dental, disability, critical illness, EAP, and life insurance,Virtual mental health and neurodiversity support programs,Goodlife fitness annual membership,Open vacation policy,Family planning support program,Generous paid maternity/parental leave,Subsidized Back-up child care,Zynga happy hours and frequent employee events,Casual dress every single day,Culture of diversity and inclusion including employee resource groups","
Senior Machine Learning Engineer – Analytics
Interested in creating great products that impact mill...",https://www.zynga.com/job-listing/senior-machine-learning-engineer-analytics/
JOB138854541886,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-br/details/200160977/maps-search-software-engineer
JOB143364487093,Data Scientist & Machine Learning Engineer,"Core expertise in machine learning and recommender systems,Domain-specific knowledge and applied experience in the financial sector.,Experience with machine learning toolkits: scikit learn, Spark MLlib, Vowpal Wabbit, XGBoost, Torch, other Deep Learning frameworks,Familiarity with Java, Python, Scala,Experience with deep learning at a theoretical and practical level,Commercial machine learning experience,Contributions to Open Source software,Participated in Kaggle competitions,Work directly with our CTO and VP Engineering.,Share options to align you with the long-term success of the company.,Exciting fast-paced start-up challenges with an ambitious technical team and unlimited potential for professional growth.,Satisfaction of knowing that your efforts, in partnership with some of the world’s most exciting and prestigious companies, will help to impact hundreds of millions of people.,Work at Rise London in Whitechapel with an opportunity to travel for customer project and industry event.,Opportunity to travel regularly and represent Seldon at industry events.",," We’re Seldon, a disruptive data science start-up currently building the next big thing in finance a...",https://www.indeed.co.uk/job/Data-Scientist-Machine-Learning-Engineer-at-Seldon-Technologies-in-London-81d64bc6afdf43c6
JOB143445781003,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-id/details/200160977/maps-search-software-engineer
JOB143497416050,"Machine Learning Engineer (Irving, TX or Remote)",,,"
Design and maintain prototypes and machine learning systems, contribute to technical discussions, a...",https://www.flexjobs.com/publicjobs/machine-learning-engineer-irving-tx-or-remote-1310150
JOB145843922020,Machine Learning Engineer - Maps Search,"Experience in applying machine learning in information retrieval domain such as search engines, natural language processing, or similar areas.,Strong programming experience in one or more of the following: Java, C++, Python or equivalent,Excellent interpersonal and communication skills,Outstanding problem solving and analytical skills,- Experience/knowledge of large scale machine learning applied to very large and diverse datasets,(preferred),- Experience/knowledge of search, natural language processing, and related fields (preferred),- Experience with Lucene/Solr/Elastic Search or any other Search Engine Experience with,Hadoop/Map-Reduce/Spark (preferred)",,"
Machine Learning Engineer - Maps Search
Santa Clara Valley (Cupertino) , California , United States...",http://www.latpro.com/jobs/3744194.html
JOB147000814127,Maps Search Machine Learning Engineer/Scientist,"Experience in applying machine learning in information retrieval domain such as search engines, natural language processing, or similar areas,Desire to solve challenging problems at the intersection of user experience and computational algorithms,Strong programming experience in one or more of the following: Java, C++, Python or equivalent,Excellent interpersonal and communication skills",,"Maps Search Machine Learning Engineer/Scientist
Apple Maps are being used by millions of users every...",https://jobs.apple.com/en-us/details/200175198/maps-search-machine-learning-engineer-scientist
JOB150571402909,Machine Learning Engineer,,Project Type: Ongoing project,"
We have a contractor need for 1 DSML GCP Cost Management contractor. This contractor will help buil...",https://www.upwork.com/job/Machine-Learning-Engineer_~01a2f0c9e0bda555a5/
JOB154825952588,Machine Learning Engineer,50+ career categories,"Find a better job, faster!,Hand-screened leads,No ads, scams, junk,Great job search support","
Machine Learning Engineer
Learning engineer needed for a remote position requiring a computer scien...",https://www.flexjobs.com/publicjobs/machine-learning-engineer-1138736
JOB156748655119,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/zh-mo/details/200169182/machine-learning-engineer
JOB159689992706,Maps Search Machine Learning Engineer,"Strong ML background with expertise in one of these areas - search applications, information retrieval, text mining, natural language processing, search relevance/ranking,Strong programming and debugging skills in: Java or C/C++ or Python or equivalent,Experience in distributed computing, search and related technologies,Experience with big data technologies like Hadoop/MapReduce, Spark, Kafka,- Experience with Hadoop/Map-Reduce/Spark,- Experience with data engineering,- Experience with Lucene/Solr/Elastic Search or any other Search Engine — is a plus!,Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",,"Maps Search Machine Learning Engineer
Summary
Would you like to be part of a team that impacts milli...",https://jobs.apple.com/en-it/details/200160977/maps-search-software-engineer
JOB162707450419,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/zh-hk/details/200169182/machine-learning-engineer
JOB163581787323,Machine Learning Engineer Internship (6 months),"Computer Science, Mathematics, Physics or similar.,A passion and aptitude for programming, technology and enthusiasm for analytical and problem solving challenges,A good understanding and knowledge of C/C++ & python,,Experience with Deep learning neural network building,Experience of Deep learning frameworks,Proficiency to design, build, test and support innovative solutions,The ability to define and manage project deadlines,The ability to balance workloads across a wide variety of projects,To keep all stakeholders regularly informed on progress,To innovate and have fun through collaboration and generation of ideas which lead to enhancements of our workflows,Initially 22 days holiday, complemented by a flexible buying and selling holiday program,Company contributory pension plan,Flexible Private Medical & Dental care programs, tailored to suit individual or family needs,Onsite Exercise classes, almost every day of the week and promoting active lifestyles,Onsite Social Games area which provide downtime through the working day,Our restaurant, offering great food and a highly effective social and work space,Regular social club events, spontaneous reward events throughout the year",,"A Technology Company with a Passion for Innovation
CGG is a pioneering Technology Company providing ...",https://www.smartrecruiters.com/CGG3/743999684983258-machine-learning-engineer-internship-6-months-
JOB165260061217,Machine Learning Engineer,"Experience with modern machine learning algorithms,Experience with image processing, computer vision, speech recognition, or natural language processing,Strong programming, debugging, and design skills,Excellent problem solving, critical thinking, and interpersonal skills",,Are you interested in building products that use machine learning and computer vision technology in ...,https://jobs.apple.com/tr-tr/details/200169182/machine-learning-engineer
JOB168333695820,Machine Learning Engineer - NLP/Sentiment Analysis,,"Developing and implementing custom machine learning algorithms for the company,Exploring new machine learning/deep learning techniques - keeping the business at the forefront of the industry,Interacting with key stakeholders within analytics,Helping to develop a strategic roadmap for the machine learning function - identifying key growth areas for the business,An MSc or Ph.D. in Computer Science, Machine Learning, Artificial Intelligence or Mathematics,A breadth and depth of machine learning knowledge (developing algorithms from scratch is a necessity),Familiarity with one of the following: R/Python/Scala/Java,Work experience with Hadoop/AWS/Spark is desirable,Java,Machine Learning,Spark,NLP","
Machine Learning Engineer - NLP/Sentiment Analysis
London
£100,000 + benefits
THE COMPANY
Harnham a...",https://www.ziprecruiter.com/clk/harnham-00000000-machine-learning-engineer-nlp-sentiment-analysis-3561_32563893?clk=b7QjipohZjfMpuDjKe9Wb99TGYVPYP68VaEl7TMhmqQEG1yzLbNn6uRdixdlHryaqan-WzQnjYACig8vOYExwO1KtGHRcpUvL1H2cV7T3kt6IHmNC_nElQo51t4IyS9Qe06aMs2dpwLLD1RZkqqxCPx3E4IT6vRk8PX_trw2IOwaGHiiYV-lVbVLdz9pfl-mztQP_QAGQ2mGw2H1UuaXNOrSReOQFNEFOJPFDFSQh90lRXMskGdn8qhKYhqezh3GKESgx51h1GmTy2-3q-Hg58hO63rPry-A9FXjrxW9Plha7BvqSc3sJNra2CNJepD2gjdjYA_0VsGPtqJWDGpt_mLRyGHexX5kzANW-ouanInRQpMWxUD0-vY0GspxM3sceRIKK-U7vaZI5NzlieFs19ZLAWoLzZ_sKwKiFxku-GIPYpGZZzQVcM6OnHeVwyehW1shLn1Lb4X_KfguyBvUdSF1a2QoCzZC_W2D7rH1QkvjpVoF3houu-L-PvUwSEs9jjtSPP3NbDT0lcWZih4e5ZELaFNThZjF5JWRLPf0qOf2RpYgunps1CL8GsP9LpGW5RAzpwpR7gIrWoFUlaGGOA.704f72ec1d756a0e0433d910611a7010
